cb,id,bias,ispc,acc,keypressed,experimenter.rt,block,rt,stim,tt
ICPC_E2_A1,209,Biased,MI,1,h,675,,507,Fish3_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,770,,661,Dog8_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,f,575,,472,Dog7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,452,,679,Dog5_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,h,710,,464,Fish5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,430,,648,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,555,,411,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,624,,481,Dog5_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,f,610,,492,Dog7_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,0,d,1167,,631,Fish3_incB.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,d,524,,859,Bird8_incF.bmp,2
ICPC_E2_A1,209,Ext_Biased,MC,1,d,549,,607,Bird7_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MC,1,d,647,,572,Bird8_incF.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,h,701,,578,Fish5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,652,,665,Dog8_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,443,,535,Cat2_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,804,,691,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,574,,718,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,936,,525,Dog5_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,h,1238,,486,Fish5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,504,,668,Dog8_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,782,,697,Bird5_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,g,531,,647,Cat10_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,d,1043,,628,Bird7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,541,,673,Fish9_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,772,,452,Cat2_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,g,655,,695,Cat10_incB.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,g,771,,614,Cat9_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,635,,586,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,609,,581,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,792,,550,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,599,,787,Dog8_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,578,,688,Dog8_incB.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,f,600,,631,Dog10_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MC,1,d,623,,776,Bird8_incC.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,823,,526,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,827,,829,Dog5_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,0,l,1386,,749,Cat2_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,1364,,517,Cat2_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,f,1263,,518,Dog10_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,686,,746,Fish9_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,0,f,1029,,703,Cat7_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,d,824,,654,Bird7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,768,,556,Fish9_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,689,,743,Cat7_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,357,,563,Cat7_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,g,585,,497,Cat10_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MC,1,g,677,,676,Cat9_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,386,,773,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,489,,605,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,507,,603,Dog8_incB.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,471,,572,Dog8_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,696,,650,Fish9_incB.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,f,545,,651,Dog10_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,565,,697,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,898,,481,Fish9_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,742,,390,Fish9_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,h,634,,694,Fish5_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,744,,564,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,686,,484,Dog8_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,h,725,,483,Fish10_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,0,l,937,,547,Dog10_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,775,,869,Cat7_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,752,,754,Bird2_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,615,,609,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,537,,699,Bird5_incD.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,443,,775,Dog8_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,845,,691,Fish9_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,759,,647,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,730,,749,Fish3_incB.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,750,,559,Dog5_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,672,,554,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,703,,498,Dog8_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,852,,538,Fish3_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,h,578,,530,Fish5_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,f,708,,535,Dog10_incB.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,742,,816,Fish3_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,544,,564,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,502,,671,Fish3_incC.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,h,547,,736,Fish10_incD.bmp,2
