cb,id,bias,ispc,acc,keypressed,experimenter.rt,block,rt,stim,tt
ICPC_E9_A1,901,Biased,MC,1,d,622,Test1,980,Bird5_con.bmp,1
ICPC_E9_A1,901,Unbiased,MI,1,f,658,Test1,788,Dog8_con.bmp,1
ICPC_E9_A1,901,Biased,MC,1,g,831,Test1,772,Cat7_con.bmp,1
ICPC_E9_A1,901,Unbiased,MI,1,h,803,Test1,827,Fish9_incD.bmp,2
ICPC_E9_A1,901,Biased,MC,1,g,847,Test1,846,Cat7_incF.bmp,2
ICPC_E9_A1,901,Biased,MI,1,f,752,Test1,857,Dog7_incF.bmp,2
ICPC_E9_A1,901,Biased,MC,1,g,915,Test1,709,Cat2_con.bmp,1
ICPC_E9_A1,901,Biased,MC,1,d,803,Test1,1436,Bird2_con.bmp,1
ICPC_E9_A1,901,Unbiased,MC,1,d,1035,Test1,745,Bird7_con.bmp,1
ICPC_E9_A1,901,Unbiased,MC,1,g,951,Test1,823,Cat10_con.bmp,1
ICPC_E9_A1,901,Biased,MI,1,h,783,Test1,807,Fish5_incD.bmp,2
ICPC_E9_A1,901,Biased,MC,1,g,838,Test1,781,Cat7_con.bmp,1
ICPC_E9_A1,901,Unbiased,MC,1,g,803,Test1,759,Cat10_incB.bmp,2
ICPC_E9_A1,901,Unbiased,MI,1,f,768,Test1,825,Dog8_con.bmp,1
ICPC_E9_A1,901,Biased,MI,1,h,745,Test1,758,Fish3_con.bmp,1
ICPC_E9_A1,901,Unbiased,MC,1,d,900,Test1,723,Bird7_con.bmp,1
ICPC_E9_A1,901,Unbiased,MC,1,g,642,Test1,703,Cat10_con.bmp,1
ICPC_E9_A1,901,Unbiased,MI,1,f,648,Test1,761,Dog8_con.bmp,1
ICPC_E9_A1,901,Unbiased,MI,1,f,614,Test1,953,Dog8_incF.bmp,2
ICPC_E9_A1,901,Unbiased,MI,1,h,780,Test1,1189,Fish9_incC.bmp,2
ICPC_E9_A1,901,Unbiased,MC,1,d,1049,Test1,1064,Bird7_con.bmp,1
ICPC_E9_A1,901,Biased,MI,1,h,742,Test1,1167,Fish3_incC.bmp,2
ICPC_E9_A1,901,Unbiased,MC,1,g,701,Test1,830,Cat10_incF.bmp,2
ICPC_E9_A1,901,Biased,MI,1,f,783,Test1,786,Dog5_incB.bmp,2
ICPC_E9_A1,901,Biased,MC,1,g,762,Test1,902,Cat7_con.bmp,1
ICPC_E9_A1,901,Biased,MI,1,h,825,Test1,818,Fish3_incD.bmp,2
ICPC_E9_A1,901,Biased,MC,1,d,990,Test1,957,Bird2_incD.bmp,2
ICPC_E9_A1,901,Biased,MC,1,g,1002,Test1,856,Cat2_incF.bmp,2
ICPC_E9_A1,901,Unbiased,MC,1,d,890,Test1,955,Bird7_con.bmp,1
ICPC_E9_A1,901,Biased,MI,1,f,893,Test1,606,Dog5_incB.bmp,2
ICPC_E9_A1,901,Biased,MC,1,g,961,Test1,759,Cat7_con.bmp,1
ICPC_E9_A1,901,Biased,MI,1,f,1065,Test1,566,Dog5_con.bmp,1
ICPC_E9_A1,901,Biased,MI,1,h,837,Test1,802,Fish5_con.bmp,1
ICPC_E9_A1,901,Unbiased,MC,1,g,1180,Test1,557,Cat10_con.bmp,1
