cb,id,bias,ispc,acc,keypressed,experimenter.rt,block,rt,stim,tt
ICPC_E8_A1,801,Biased,MI,1,h,453,Test1,686,FT_c.png,2
ICPC_E8_A1,801,Biased,MI,1,f,405,Test1,498,DA.png,1
ICPC_E8_A1,801,Biased,MI,1,f,517,Test1,545,DP_f.png,2
ICPC_E8_A1,801,Biased,MC,1,g,794,Test1,471,CS_d.png,2
ICPC_E8_A1,801,Unbiased,MC,1,g,401,Test1,596,CB.png,1
ICPC_E8_A1,801,Biased,MI,1,h,636,Test1,680,FS_c.png,2
ICPC_E8_A1,801,Unbiased,MI,1,h,507,Test1,954,FP_d.png,2
ICPC_E8_A1,801,Biased,MI,1,h,503,Test1,536,FS_d.png,2
ICPC_E8_A1,801,Biased,MC,1,g,425,Test1,586,CR.png,1
ICPC_E8_A1,801,Biased,MC,1,d,583,Test1,581,BO.png,1
ICPC_E8_A1,801,Biased,MC,1,g,437,Test1,628,CS.png,1
ICPC_E8_A1,801,Biased,MC,1,g,710,Test1,506,CR.png,1
ICPC_E8_A1,801,Biased,MC,1,d,442,Test1,527,BC.png,1
ICPC_E8_A1,801,Biased,MC,1,d,422,Test1,629,BC_c.png,2
ICPC_E8_A1,801,Unbiased,MC,1,g,477,Test1,540,CB.png,1
ICPC_E8_A1,801,Biased,MI,1,h,572,Test1,512,FT.png,1
ICPC_E8_A1,801,Biased,MC,1,d,481,Test1,465,BC.png,1
ICPC_E8_A1,801,Biased,MC,1,g,425,Test1,477,CR.png,1
ICPC_E8_A1,801,Unbiased,MC,1,d,474,Test1,530,BP_c.png,2
ICPC_E8_A1,801,Unbiased,MI,1,f,383,Test1,552,DL.png,1
ICPC_E8_A1,801,Biased,MI,1,f,397,Test1,611,DP_b.png,2
ICPC_E8_A1,801,Biased,MI,1,h,453,Test1,585,FS_b.png,2
ICPC_E8_A1,801,Biased,MI,1,f,445,Test1,679,DA_f.png,2
ICPC_E8_A1,801,Biased,MI,0,g,1361,Test1,606,FT_d.png,2
ICPC_E8_A1,801,Biased,MI,1,f,586,Test1,570,DP_f.png,2
ICPC_E8_A1,801,Biased,MI,1,f,475,Test1,547,DA_b.png,2
ICPC_E8_A1,801,Unbiased,MC,1,g,419,Test1,479,CB.png,1
ICPC_E8_A1,801,Unbiased,MC,1,g,507,Test1,548,CB.png,1
ICPC_E8_A1,801,Unbiased,MC,1,g,426,Test1,665,CB_b.png,2
ICPC_E8_A1,801,Biased,MC,1,g,576,Test1,1193,CS.png,1
ICPC_E8_A1,801,Biased,MI,1,f,396,Test1,676,DP.png,1
ICPC_E8_A1,801,Unbiased,MI,1,h,510,Test1,520,FP.png,1
ICPC_E8_A1,801,Unbiased,MC,1,d,493,Test1,884,BP_d.png,2
ICPC_E8_A1,801,Biased,MI,1,f,354,Test1,743,DP_b.png,2
ICPC_E8_A1,801,Biased,MI,1,f,340,Test1,740,DP_b.png,2
ICPC_E8_A1,801,Unbiased,MC,1,d,431,Test1,745,BP.png,1
ICPC_E8_A1,801,Unbiased,MI,1,h,467,Test1,661,FP.png,1
ICPC_E8_A1,801,Unbiased,MI,1,f,371,Test1,480,DL.png,1
ICPC_E8_A1,801,Biased,MC,1,g,523,Test1,573,CR_b.png,2
ICPC_E8_A1,801,Biased,MC,1,g,501,Test1,583,CS.png,1
ICPC_E8_A1,801,Unbiased,MI,1,h,502,Test1,627,FP.png,1
ICPC_E8_A1,801,Unbiased,MC,1,g,478,Test1,857,CB_f.png,2
ICPC_E8_A1,801,Unbiased,MI,1,h,704,Test1,622,FP.png,1
ICPC_E8_A1,801,Biased,MC,1,d,614,Test1,902,BC_d.png,2
ICPC_E8_A1,801,Unbiased,MI,1,h,679,Test1,723,FP_c.png,2
ICPC_E8_A1,801,Biased,MI,1,h,646,Test1,721,FS_d.png,2
ICPC_E8_A1,801,Biased,MI,1,h,534,Test1,518,FS.png,1
ICPC_E8_A1,801,Biased,MI,1,f,445,Test1,1259,DP_c.png,2
ICPC_E8_A1,801,Biased,MC,1,g,434,Test1,598,CS_f.png,2
ICPC_E8_A1,801,Biased,MI,1,h,522,Test1,908,FS_b.png,2
